Concurso	Data do Sorteio	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Ganhadores 6 acertos	Cidade / UF	Rateio 6 acertos	Ganhadores 5 acertos	Rateio 5 acertos	Ganhadores 4 acertos	Rateio 4 acertos	Acumulado 6 acertos	Arrecadação Total	Estimativa prêmio	Acumulado Sorteio Especial Mega da Virada	Observação
1	11/03/1996	4	5	30	33	41	52	0		R$0,00	17	R$39.158,92	2016	R$330,21	R$1.714.650,23	R$0,00	R$0,00	R$0,00	
2	18/03/1996	9	37	39	41	43	49	1	PR	R$2.307.162,23	65	R$14.424,02	4488	R$208,91	R$0,00	R$0,00	R$0,00	R$0,00	
3	25/03/1996	10	11	29	30	36	47	2	"RN; SP"	R$391.192,51	62	R$10.515,93	4261	R$153,01	R$0,00	R$0,00	R$0,00	R$0,00	
4	01/04/1996	1	5	6	27	42	59	0		R$0,00	39	R$15.322,24	3311	R$180,48	R$717.080,75	R$0,00	R$0,00	R$0,00	
5	08/04/1996	1	2	6	16	19	46	0		R$0,00	98	R$5.318,10	5399	R$96,53	R$1.342.488,85	R$0,00	R$0,00	R$0,00	
6	15/04/1996	7	13	19	22	40	47	0		R$0,00	109	R$7.214,66	7147	R$110,03	R$2.286.166,33	R$0,00	R$0,00	R$0,00	
7	22/04/1996	3	5	20	21	38	56	0		R$0,00	100	R$8.746,05	5736	R$152,48	R$3.335.692,28	R$0,00	R$0,00	R$0,00	
8	29/04/1996	4	17	37	38	47	53	0		R$0,00	60	R$16.084,11	5262	R$183,40	R$4.493.748,19	R$0,00	R$0,00	R$0,00	
9	06/05/1996	8	43	54	55	56	60	0		R$0,00	17	R$60.043,79	2175	R$469,31	R$5.718.641,49	R$0,00	R$0,00	R$0,00	
10	13/05/1996	4	18	21	25	38	57	0		R$0,00	251	R$6.638,45	12590	R$132,35	R$13.334.769,81	R$0,00	R$0,00	R$0,00	
